source,word,action
triage-pass-1,benzyl,ditch
triage-pass-1,blackjack,keep
triage-pass-1,blizzards,keep
triage-pass-1,breezy,keep
triage-pass-1,bronzy,ditch
triage-pass-1,chazan,ditch
triage-pass-1,chintz,keep
triage-pass-1,cowpox,keep
triage-pass-1,exchequer,ditch
triage-pass-1,fuzziness,keep
triage-pass-1,hazmat,keep
triage-pass-1,jacked,keep
triage-pass-1,jejune,ditch
triage-pass-1,matzoh,keep
triage-pass-1,maximized,keep
triage-pass-1,quench,keep
triage-pass-1,quiche,keep
triage-pass-1,schizo,keep
triage-pass-1,zapped,keep
triage-pass-1,zipped,keep
triage-pass-1,zonked,keep
triage-pass-1,dazzlingly,keep
triage-pass-1,embezzling,keep
triage-pass-1,equinox,keep
triage-pass-1,hijacks,keep
triage-pass-1,jejunum,ditch
triage-pass-1,jockeys,keep
triage-pass-1,jonquil,ditch
triage-pass-1,kickoff,keep
triage-pass-1,lockjaw,keep
triage-pass-1,schmalz,ditch
triage-pass-1,squawks,keep
triage-pass-1,squeaky,keep
triage-pass-1,wheezed,keep
triage-pass-1,aqua,keep
triage-pass-1,azan,ditch
triage-pass-1,coax,keep
triage-pass-1,conj,ditch
triage-pass-1,crux,keep
triage-pass-1,equalize,keep
triage-pass-1,excl,ditch
triage-pass-1,exec,keep
triage-pass-1,faff,keep
triage-pass-1,feck,ditch
triage-pass-1,flapjack,keep
triage-pass-1,hick,keep
triage-pass-1,hock,keep
triage-pass-1,huff,keep
triage-pass-1,ibex,keep
triage-pass-1,icky,keep
triage-pass-1,iffy,keep
triage-pass-1,jabs,keep
triage-pass-1,jams,keep
triage-pass-1,jape,ditch
triage-pass-1,jibe,keep
triage-pass-1,jibs,keep
triage-pass-1,juba,ditch
triage-pass-1,kickback,keep
triage-pass-1,laze,keep
triage-pass-1,maxi,keep
triage-pass-1,minx,keep
triage-pass-1,mkay,ditch
triage-pass-1,mojo,keep
triage-pass-1,ooze,keep
triage-pass-1,orzo,keep
triage-pass-1,ouzo,keep
triage-pass-1,oxidized,keep
triage-pass-1,poky,keep
